time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
0,0.075,0,0,0.075,0,0
0.05,0.15,0,0,0.15,0,0
0.1,0.225,0,0,0.225,0,0
0.15,0.3,0,0,0.3,0,0
0.2,0.375,0,0,0.375,0,0
0.25,0.45,0,0,0.45,0,0
0.3,0.525,0,0,0.525,0,0
0.35,0.6,0,0,0.6,0,0
0.4,0.675,0,0,0.675,0,0
0.45,0.75,0,0,0.75,0,0
0.5,0.825,0,0,0.825,0,0
0.55,0.9,0,0,0.9,0,0
0.6,0.975,0,0,0.975,0,0
0.65,1.05,0,0,1.05,0,0
0.7,1.125,0,0,1.125,0,0
0.75,1.2,0,0,1.2,0,0
0.8,1.275,0,0,1.275,0,0
0.85,1.35,0,0,1.35,0,0
0.9,1.425,0,0,1.425,0,0
0.95,1.5,0,0,1.5,0,0
1,1.575,0,0,1.575,0,0
1.05,1.65,0,0,1.65,0,0
1.1,1.725,0,0,1.725,0,0
1.15,1.8,0,0,1.8,0,0
1.2,1.875,0,0,1.875,0,0
1.25,1.95,0,0,1.95,0,0
1.3,2.025,0,0,2.025,0,0
1.35,2.1,0,0,2.1,0,0
1.4,2.175,0,0,2.175,0,0
1.45,2.25,0,0,2.25,0,0
1.5,2.325,0,0,2.325,0,0
1.55,2.4,0,0,2.4,0,0
1.6,2.475,0,0,2.475,0,0
1.65,2.55,0,0,2.55,0,0
1.7,2.625,0,0,2.625,0,0
1.75,2.7,0,0,2.7,0,0
1.8,2.775,0,0,2.775,0,0
1.85,2.85,0,0,2.85,0,0
1.9,2.925,0,0,2.925,0,0
1.95,3,0,0,3,0,0
2,3.075,0,0.0154668,3.075,0,0.0154668
2.05,3.14999,0.00115996,0.0309336,3.14999,0.00115996,0.0309336
2.1,3.22496,0.00347962,0.0464004,3.22496,0.00347962,0.0464004
2.15,3.29987,0.0069584,0.0618672,3.29987,0.0069584,0.0618672
2.2,3.37473,0.0115955,0.0773341,3.37473,0.0115955,0.0773341
2.25,3.44951,0.0173898,0.0928009,3.44951,0.0173898,0.0928009
2.3,3.52418,0.0243398,0.108268,3.52418,0.0243398,0.108268
2.35,3.59874,0.0324441,0.123734,3.59874,0.0324441,0.123734
2.4,3.67317,0.0417005,0.139201,3.67317,0.0417005,0.139201
2.45,3.74745,0.0521069,0.154668,3.74745,0.0521069,0.154668
2.5,3.82155,0.0636608,0.170135,3.82155,0.0636608,0.170135
